route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A26,A,108,Ж.К. ЛЮЛИН-5 - ХЮНДАЙ БЪЛГАРИЯ - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
A3,A,111,"Ж.К. ЛЮЛИН 1,2 - Ж.К. МЛАДОСТ 1 - Ж.К. ЛЮЛИН 1,2",,3,,BE1E2D,FFFFFF,,,
A93,A,18A,ГРОБИЩЕН ПАРК МАЛАШЕВЦИ - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГРОБИЩЕН ПАРК МАЛАШЕВЦИ,,3,,BE1E2D,FFFFFF,,,
A25,A,63,БУЛ. ЦАР БОРИС ІІІ - ЗЛАТНИ МОСТОВЕ - БУЛ. ЦАР БОРИС ІІІ,,3,,BE1E2D,FFFFFF,,,
A42,A,21,СЕЛО ВОЙНЕГОВЦИ - ЦЕНТРАЛНА ГАРА - СЕЛО ВОЙНЕГОВЦИ,,3,,BE1E2D,FFFFFF,,,
A43,A,22,СЕЛО ПОДГУМЕР - ЦЕНТРАЛНА ГАРА - СЕЛО ПОДГУМЕР,,3,,BE1E2D,FFFFFF,,,
A13,A,31,КВ. ОБЕЛЯ - СЕЛО ГОЛЯНОВЦИ - КВ. ОБЕЛЯ,,3,,BE1E2D,FFFFFF,,,
A274,A,806,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - Метростанция Горна баня - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A54,A,82,УЛ. ОРИОН - Ж.К. ЛЮЛИН-5 - УЛ. ОРИОН,,3,,BE1E2D,FFFFFF,,,
A7,A,65,КВ. ОВЧА КУПЕЛ - БОЯНСКА ЦЪРКВА - КВ. ОВЧА КУПЕЛ,,3,,BE1E2D,FFFFFF,,,
A27,A,81,КВ. ИВАНЯНЕ - СЕВЕРНА ПРОМИШЛЕНА ЗОНА - КВ. ИВАНЯНЕ,,3,,BE1E2D,FFFFFF,,,
A98,A,54,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
A50,A,29,СЕЛО БАЛША - Хюндай България - СЕЛО БАЛША,,3,,BE1E2D,FFFFFF,,,
A2,A,9,АВТОБАЗА ИСКЪР - Ул. Ген. Гурко - АВТОБАЗА ИСКЪР,,3,,BE1E2D,FFFFFF,,,
TB44,A,6TM,Ж.К.ИВАН ВАЗОВ - Пл. Македония - Ж.К.ИВАН ВАЗОВ,,11,,27AAE1,FFFFFF,,,
A268,A,180,МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК,,3,,BE1E2D,FFFFFF,,,
A246,A,109,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,,3,,BE1E2D,FFFFFF,,,
A220,A,184,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - ВОЕННА АКАДЕМИЯ - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,,3,,BE1E2D,FFFFFF,,,
A77,A,67,СЕМИНАРИЯТА - Ж.К. ДИАНАБАД - СЕМИНАРИЯТА,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A273,A,95,СТУДЕНТСКИ ГРАД - КВ. МАНАСТИРСКИ ЛИВАДИ - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
A241,A,M3,Ж.К. ОВЧА КУПЕЛ-2 - МЕТРОСТАНЦИЯ ХАДЖИ ДИМИТЪР - Ж.К. ОВЧА КУПЕЛ-2,,3,,BE1E2D,FFFFFF,,,
TB37,A,3TM,БУЛ. КН. МАРИЯ ЛУИЗА - ПЛ. ВЪЗРАЖДАНЕ - БУЛ. КН. МАРИЯ ЛУИЗА,,11,,27AAE1,FFFFFF,,,
TB8,A,9,ж.к. Борово - ПЛ. СТОЧНА ГАРА - ж.к. Борово,,11,,27AAE1,FFFFFF,,,
A205,A,505,ПЛ. ОРЛОВ МОСТ - Парк музей Врана - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
TM29,A,11,БУЛ. НИКОЛА ПЕТКОВ - УЛ. ЙОСИФ ШРОСМАЙЕР - БУЛ. НИКОЛА ПЕТКОВ,,0,,F7941D,FFFFFF,,,
A41,A,18,Село Негован - Мелницата Чепинци - Село Негован,,3,,BE1E2D,FFFFFF,,,
A22,A,56,МЕТРОСТАНЦИЯ ВАРДАР - СЕЛО МАЛО БУЧИНО - МЕТРОСТАНЦИЯ ВАРДАР,,3,,BE1E2D,FFFFFF,,,
A215,A,110,Ж.К. БЪКСТОН - Ж.К. МЛАДОСТ-1 - Ж.К. БЪКСТОН,,3,,BE1E2D,FFFFFF,,,
A24,A,58,ГАРА ВЛАДАЯ - АВТОСТАНЦИЯ КНЯЖЕВО - ГАРА ВЛАДАЯ,,3,,BE1E2D,FFFFFF,,,
M1,A,M1,БИЗНЕС ПАРК СОФИЯ - СЛИВНИЦА - БИЗНЕС ПАРК СОФИЯ,,1,,EB2227,FFFFFF,,,
A56,A,86,АП МАЛАШЕВЦИ - Ж.К. СВОБОДА - АП МАЛАШЕВЦИ,,3,,BE1E2D,FFFFFF,,,
TB6,A,6,Ж.к. Банишора - ПЛ. СТОЧНА ГАРА - Ж.к. Банишора,,11,,27AAE1,FFFFFF,,,
A121,A,8TM,БУЛ. АЛ.  СТАМБОЛИЙСКИ - ж.к. Люлин -5 - БУЛ. АЛ.  СТАМБОЛИЙСКИ,,3,,BE1E2D,FFFFFF,,,
A35,A,118,СЕЛО ЖЕЛЯВА - АВТОСТАНЦИЯ ИЗТОК - СЕЛО ЖЕЛЯВА,,3,,BE1E2D,FFFFFF,,,
A264,A,97,ХОТЕЛ АМБАСАДОР - МЕТРОСТАНЦИЯ ФР. ЖОЛИО-КЮРИ - ХОТЕЛ АМБАСАДОР,,3,,BE1E2D,FFFFFF,,,
TB3,A,5,Депо Искър - ПЛ. РУСКИ ПАМЕТНИК - Депо Искър,,11,,27AAE1,FFFFFF,,,
TM37,A,3A,Гара Захарна фабрика - МЕТРОСТАНЦИЯ К. ВЕЛИЧКОВ - Гара Захарна фабрика,,0,,F7941D,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
A261,A,200,ПЛ. СВ. АЛ. НЕВСКИ - ПЛ.СВ. АЛЕКСАНДЪР НЕВСКИ - ПЛ. СВ. АЛ. НЕВСКИ,,3,,BE1E2D,FFFFFF,,,
TB10,A,1,Ж.К. ЛЕВСКИ Г - ж.к. Хаджи Димитър - Ж.К. ЛЕВСКИ Г,,11,,27AAE1,FFFFFF,,,
A240,A,6ТМ,ЦЕНТРАЛНА ГАРА - КВ. ОБЕЛЯ - ЦЕНТРАЛНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A271,A,187,ЖП ГАРА ВЕРИЛА - ГАРА ИСКЪР - ЖП ГАРА ВЕРИЛА,,3,,BE1E2D,FFFFFF,,,
TM58,A,13,Гара Захарна фабрика - МЕТРОСТАНЦИЯ К. ВЕЛИЧКОВ - Гара Захарна фабрика,,0,,F7941D,FFFFFF,,,
A120,A,108A,Ж.К. ЛЮЛИН -5 - БУЛ. ЛОМСКО ШОСЕ - Ж.К. ЛЮЛИН -5,,3,,BE1E2D,FFFFFF,,,
TM40,A,15,Пл. Македония - Ж.К. БЪКСТОН - Пл. Македония,,0,,F7941D,FFFFFF,,,
A85,A,213,Ж.К. МЛАДОСТ 4 - ПЛОЩАД ЦЕНТРАЛНА ГАРА - Ж.К. МЛАДОСТ 4,,3,,BE1E2D,FFFFFF,,,
A63,A,66,Хотел Морени - Зоопарка - Хотел Морени,,3,,BE1E2D,FFFFFF,,,
A202,A,12Т,Автостанция Илиянци - ГАРА СОФИЯ СЕВЕР - Автостанция Илиянци,,3,,BE1E2D,FFFFFF,,,
A94,A,79А,УЛ. ВАСИЛ КЪНЧЕВ - БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА - УЛ. ВАСИЛ КЪНЧЕВ,,3,,BE1E2D,FFFFFF,,,
A262,A,46,МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА,,3,,BE1E2D,FFFFFF,,,
TM25,A,5,СЪДЕБНА ПАЛАТА - КВ. КНЯЖЕВО - СЪДЕБНА ПАЛАТА,,0,,F7941D,FFFFFF,,,
A4,A,11,УЛ. ДОБРОТИЧ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - УЛ. ДОБРОТИЧ,,3,,BE1E2D,FFFFFF,,,
A119,A,83А,БУЛ. ЛОМСКО ШОСЕ - БАЛКАНКАР АД - БУЛ. ЛОМСКО ШОСЕ,,3,,BE1E2D,FFFFFF,,,
A267,A,182,МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК - МЕТРОСТАНЦИЯ БИЗНЕС ПАРК,,3,,BE1E2D,FFFFFF,,,
A29,A,107,КВ. ОВЧА КУПЕЛ - КВ. КАРПУЗИЦА - КВ. ОВЧА КУПЕЛ,,3,,BE1E2D,FFFFFF,,,
TM51,A,4,Ж.К. БЪКСТОН - Кв.Орландовци - Ж.К. БЪКСТОН,,0,,F7941D,FFFFFF,,,
A104,A,27,Село Кътина - МЕТРОСТАНЦИЯ КНЯГИНЯ МАРИЯ ЛУИЗА - Село Кътина,,3,,BE1E2D,FFFFFF,,,
A90,A,413,НСБАЛ ПО ОНКОЛОГИЯ - ТЕХНОПОЛИС Ж.К. МЛАДОСТ-4 - НСБАЛ ПО ОНКОЛОГИЯ,,3,,BE1E2D,FFFFFF,,,
A195,A,49,КВ. КЛИСУРА - МЕТРОСТАНЦИЯ СЛИВНИЦА - КВ. КЛИСУРА,,3,,BE1E2D,FFFFFF,,,
A68,A,3,ПЛ. ОРЛОВ МОСТ - СЕЛО ДОЛНИ ПАСАРЕЛ - ПЛ. ОРЛОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
A37,A,120,Зоопарка - ж.к. Левски Г - Зоопарка,,3,,BE1E2D,FFFFFF,,,
A144,A,12TM,ГАРА СОФИЯ СЕВЕР - БУЛ. КН. МАРИЯ ЛУИЗА - ГАРА СОФИЯ СЕВЕР,,3,,BE1E2D,FFFFFF,,,
TB27,A,1А,Кино Одеон - ВМА - Кино Одеон,,11,,27AAE1,FFFFFF,,,
