from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
A1748,A0066,,,,,2,322
TB1819,TM2234,,,,,2,592
TB0599,TB6279,,,,,2,467
TB6279,TB0599,,,,,2,467
A2871,A2704,,,,,2,480
A2704,A2871,,,,,2,480
TB1798,A1810,,,,,2,507
A0066,A1748,,,,,2,322
TB1695,TB0494,,,,,2,649
TM2234,TB1819,,,,,2,592
A2352,TB0494,,,,,2,339
TB1259,TB0494,,,,,2,293
TB0494,TB1259,,,,,2,293
A1677,A1553,,,,,2,287
A0579,TB0494,,,,,2,608
TB2473,A2797,,,,,2,278
A2797,TB2473,,,,,2,278
A2351,TB0494,,,,,2,284
TB0494,A2351,,,,,2,284
A1553,A1677,,,,,2,287
A2470,A1553,,,,,2,820
A1553,A2470,,,,,2,820
TB1696,TB0494,,,,,2,535
TB0494,TB1696,,,,,2,535
TB0764,TB0494,,,,,2,552
TB0494,TB0764,,,,,2,552
M2,A1810,,,,,2,433
A6318,TM2060,,,,,2,342
TM2060,A6318,,,,,2,342
A1810,TB1798,,,,,2,507
TB0492,TB0494,,,,,2,70
TB0494,TB0492,,,,,2,70
A1715,A1810,,,,,2,218
A1810,A1715,,,,,2,218
A6160,A1810,,,,,2,181
A1810,A6160,,,,,2,181
A0443,TM0356,,,,,2,343
TM0356,A0443,,,,,2,343
M11,TB0494,,,,,2,534
A6212,A1553,,,,,2,118
A1553,A6212,,,,,2,118
TB0494,TB1695,,,,,2,649
TB0576,TB0494,,,,,2,599
TB0494,TB0576,,,,,2,599
A0029,A1810,,,,,2,583
A1810,A0029,,,,,2,583
TB1810,A1810,,,,,2,41
A1810,TB1810,,,,,2,41
A1696,TB0494,,,,,2,535
TB0494,A1696,,,,,2,535
A2499,A1553,,,,,2,360
TB0494,A2352,,,,,2,339
A0761,TB0494,,,,,2,504
TB0494,A0761,,,,,2,504
A1703,A1810,,,,,2,391
A1810,A1703,,,,,2,391
A1981,A1810,,,,,2,627
A1810,A1981,,,,,2,627
A1719,A1810,,,,,2,252
A1810,A1719,,,,,2,252
A2498,A1553,,,,,2,369
A1553,A2498,,,,,2,369
TB1809,A1810,,,,,2,53
A6023,TM0386,,,,,2,492
TM1712,A1810,,,,,2,521
A1810,TM1712,,,,,2,521
TM1056,A1810,,,,,2,378
A1810,TM1056,,,,,2,378
TB0376,TM0376,,,,,2,19
TM0376,TB0376,,,,,2,19
A6550,A1810,,,,,2,630
A1810,A6550,,,,,2,630
A1260,TB0494,,,,,2,478
TB0494,A1260,,,,,2,478
A1982,A1810,,,,,2,650
A1257,TB0494,,,,,2,258
TB0494,A1257,,,,,2,258
TM1322,A1325,,,,,2,118
A1325,TM1322,,,,,2,118
TM0320,A1810,,,,,2,523
A1810,TM0320,,,,,2,523
A0492,TB0494,,,,,2,86
TB0494,A0492,,,,,2,86
A0576,TB0494,,,,,2,599
TB0494,A0576,,,,,2,599
TB0253,A1810,,,,,2,435
A1810,TB0253,,,,,2,435
A2283,A1553,,,,,2,524
A1553,A2283,,,,,2,524
A0764,TB0494,,,,,2,542
TB0494,A0764,,,,,2,542
A1705,A1810,,,,,2,515
A1810,A1705,,,,,2,515
A1678,A1553,,,,,2,299
A1553,A1678,,,,,2,299
A1788,A1810,,,,,2,406
A1810,A1788,,,,,2,406
A1552,A1553,,,,,2,15
A1553,A1552,,,,,2,15
A1695,TB0494,,,,,2,649
TB0494,A1695,,,,,2,649
A1704,A1810,,,,,2,542
A1810,A1704,,,,,2,542
A1716,A1810,,,,,2,218
A1810,A1716,,,,,2,218
A2681,A1810,,,,,2,558
A1810,A2681,,,,,2,558
A2794,A1810,,,,,2,737
A1810,A2794,,,,,2,737
TB0761,TB0494,,,,,2,504
TB0494,TB0761,,,,,2,504
TB0254,A1810,,,,,2,340
TB0579,TB0494,,,,,2,608
TB0494,TB0579,,,,,2,608
A1258,TB0494,,,,,2,390
TB0494,A1258,,,,,2,390
TB1258,TB0494,,,,,2,390
TB0494,TB1258,,,,,2,390
A1787,A1447,,,,,2,595
A1447,A1787,,,,,2,595
A2305,A1810,,,,,2,523
A1810,A2305,,,,,2,523
A1057,A1810,,,,,2,439
A2306,A1810,,,,,2,540
A1810,A2306,,,,,2,540
A0494,TB0494,,,,,2,0
TB0494,A0494,,,,,2,0
A0244,A1810,,,,,2,615
A1810,A0244,,,,,2,615
A1789,A1810,,,,,2,307
A1810,A1789,,,,,2,307
TB2351,TB0494,,,,,2,301
TB0494,TB2351,,,,,2,301
A1259,TB0494,,,,,2,293
TB0494,A1259,,,,,2,293
TM1711,A1810,,,,,2,487
TM1718,A1810,,,,,2,187
A1810,TM1718,,,,,2,187
TM1717,A1810,,,,,2,202
A1810,TM1717,,,,,2,202
TB1799,A1810,,,,,2,481
A1810,TB1799,,,,,2,481
TB1716,A1810,,,,,2,218
A1810,TB1716,,,,,2,218
TB1260,TB0494,,,,,2,478
TB0494,TB1260,,,,,2,478
A0542,TM0540,,,,,2,61
TM0540,A0542,,,,,2,61
A6824,A6162,,,,,2,280
A6162,A6824,,,,,2,280
A6189,A0484,,,,,2,108
TB1224,A0484,,,,,2,162
TM0547,TM0540,,,,,2,312
TB1226,TB0599,,,,,2,459
A6279,A0484,,,,,2,296
A2033,A0484,,,,,2,648
A0484,A2033,,,,,2,648
A0600,A0484,,,,,2,267
TB0309,A0484,,,,,2,585
A0484,TB0309,,,,,2,585
A0484,A6189,,,,,2,108
