table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,long_name,en,TSENTRALNA GARA - FONDOVI ZHILISHTA - TSENTRALNA GARA,,,ЦЕНТРАЛНА ГАРА - ФОНДОВИ ЖИЛИЩА - ЦЕНТРАЛНА ГАРА
routes,long_name,en,"Bl.3, zh.k. Druzhba-1 - LETISHTE SOFIYA TERMINAL 2 - Bl.3, zh.k. Druzhba-1",,,"Бл.3, ж.к. Дружба-1 - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2 - Бл.3, ж.к. Дружба-1"
routes,long_name,en,Kraia na kv. Mihaylovo - Avtostantsiia Bankia - Kraia na kv. Mihaylovo,,,Края на кв. Михайлово - Автостанция Банкя - Края на кв. Михайлово
routes,long_name,en,Stantsiia Orlandovtsi - Melnitsata TCHepintsi - Stantsiia Orlandovtsi,,,Станция Орландовци - Мелницата Чепинци - Станция Орландовци
routes,long_name,en,Modna kаshta Agresiia - Natchaloto kv. Gniliane - Modna kаshta Agresiia,,,Модна къща Агресия - Началото кв. Гниляне - Модна къща Агресия
routes,long_name,en,BALKANKAR AD - BUL. LOMSKO SHOSE - BALKANKAR AD,,,БАЛКАНКАР АД - БУЛ. ЛОМСКО ШОСЕ - БАЛКАНКАР АД
routes,long_name,en,METROSTANTSIYA GORNA BANYA - Kantona - METROSTANTSIYA GORNA BANYA,,,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - Кантона - МЕТРОСТАНЦИЯ ГОРНА БАНЯ
routes,long_name,en,Bul. Kniaginia Mariia Luiza - AVTOSTANTSIYA ILIYANTSI - Bul. Kniaginia Mariia Luiza,,,Бул. Княгиня Мария Луиза - АВТОСТАНЦИЯ ИЛИЯНЦИ - Бул. Княгиня Мария Луиза
routes,long_name,en,TSENTRALNA GARA - KULINAREN K-T PEYFIL - TSENTRALNA GARA,,,ЦЕНТРАЛНА ГАРА - КУЛИНАРЕН К-Т ПЕЙФИЛ - ЦЕНТРАЛНА ГАРА
routes,long_name,en,SELO BALSHA - KV. OBELYA - SELO BALSHA,,,СЕЛО БАЛША - КВ. ОБЕЛЯ - СЕЛО БАЛША
routes,long_name,en,ZH.K. DIANABAD - GARA SOFIYA SEVER - ZH.K. DIANABAD,,,Ж.К. ДИАНАБАД - ГАРА СОФИЯ СЕВЕР - Ж.К. ДИАНАБАД
routes,long_name,en,S.Mаrtchaevo -Tolumska mahala - METROSTANTSIYA MIZIYA - S.Mаrtchaevo -Tolumska mahala,,,С.Мърчаево -Толумска махала - МЕТРОСТАНЦИЯ МИЗИЯ - С.Мърчаево -Толумска махала
routes,long_name,en,Ul. Pirotska - Kv.Orlandovtsi - Ul. Pirotska,,,Ул. Пиротска - Кв.Орландовци - Ул. Пиротска
routes,long_name,en,AP Malashevtsi - zh.k. Svoboda - AP Malashevtsi,,,АП Малашевци - ж.к. Свобода - АП Малашевци
